"ROW","COLUMN","elev.ground.m","long","lat","head.m","WTD.m"
"1","1",NA,434759.280866144,5446315.1689991,NA,NA
"1","2",NA,434866.614844242,5446315.1689991,NA,NA
"1","3",NA,434973.948822341,5446315.1689991,NA,NA
"1","4",NA,435081.282800439,5446315.1689991,NA,NA
"1","5",NA,435188.616778537,5446315.1689991,NA,NA
"1","6",NA,435295.950756635,5446315.1689991,NA,NA
"1","7",NA,435403.284734733,5446315.1689991,NA,NA
"1","8",NA,435510.618712831,5446315.1689991,NA,NA
"1","9",NA,435617.952690929,5446315.1689991,NA,NA
"1","10",NA,435725.286669027,5446315.1689991,NA,NA
"1","11",NA,435832.620647126,5446315.1689991,NA,NA
"1","12",NA,435939.954625224,5446315.1689991,NA,NA
"1","13",NA,436047.288603322,5446315.1689991,NA,NA
"1","14",NA,436154.62258142,5446315.1689991,NA,NA
"1","15",NA,436261.956559518,5446315.1689991,NA,NA
"1","16",NA,436369.290537616,5446315.1689991,NA,NA
"1","17",NA,436476.624515714,5446315.1689991,NA,NA
"1","18",NA,436583.958493812,5446315.1689991,NA,NA
"1","19",NA,436691.29247191,5446315.1689991,NA,NA
"1","20",NA,436798.626450009,5446315.1689991,NA,NA
"1","21",NA,436905.960428107,5446315.1689991,NA,NA
"1","22",NA,437013.294406205,5446315.1689991,NA,NA
"1","23",NA,437120.628384303,5446315.1689991,NA,NA
"1","24",NA,437227.962362401,5446315.1689991,NA,NA
"1","25",NA,437335.296340499,5446315.1689991,NA,NA
"1","26",NA,437442.630318597,5446315.1689991,NA,NA
"1","27",NA,437549.964296695,5446315.1689991,NA,NA
"1","28",NA,437657.298274794,5446315.1689991,NA,NA
"1","29",NA,437764.632252892,5446315.1689991,NA,NA
"1","30",NA,437871.96623099,5446315.1689991,NA,NA
"1","31",NA,437979.300209088,5446315.1689991,NA,NA
"1","32",NA,438086.634187186,5446315.1689991,NA,NA
"1","33",NA,438193.968165284,5446315.1689991,NA,NA
"1","34",NA,438301.302143382,5446315.1689991,NA,NA
"1","35",NA,438408.63612148,5446315.1689991,NA,NA
"1","36",NA,438515.970099578,5446315.1689991,NA,NA
"1","37",NA,438623.304077677,5446315.1689991,NA,NA
"1","38",NA,438730.638055775,5446315.1689991,NA,NA
"1","39",NA,438837.972033873,5446315.1689991,NA,NA
"1","40",NA,438945.306011971,5446315.1689991,NA,NA
"1","41",NA,439052.639990069,5446315.1689991,NA,NA
"1","42",NA,439159.973968167,5446315.1689991,NA,NA
"1","43",NA,439267.307946265,5446315.1689991,NA,NA
"1","44",NA,439374.641924363,5446315.1689991,NA,NA
"1","45",NA,439481.975902462,5446315.1689991,NA,NA
"1","46",NA,439589.30988056,5446315.1689991,NA,NA
"1","47",NA,439696.643858658,5446315.1689991,NA,NA
"1","48",NA,439803.977836756,5446315.1689991,NA,NA
"1","49",NA,439911.311814854,5446315.1689991,NA,NA
"1","50",NA,440018.645792952,5446315.1689991,NA,NA
"1","51",NA,440125.97977105,5446315.1689991,NA,NA
"1","52",NA,440233.313749148,5446315.1689991,NA,NA
"1","53",NA,440340.647727247,5446315.1689991,NA,NA
"1","54",NA,440447.981705345,5446315.1689991,NA,NA
"1","55",NA,440555.315683443,5446315.1689991,NA,NA
"1","56",NA,440662.649661541,5446315.1689991,NA,NA
"1","57",NA,440769.983639639,5446315.1689991,NA,NA
"1","58",NA,440877.317617737,5446315.1689991,NA,NA
"1","59",NA,440984.651595835,5446315.1689991,NA,NA
"1","60",NA,441091.985573933,5446315.1689991,NA,NA
"1","61",NA,441199.319552031,5446315.1689991,NA,NA
"1","62",NA,441306.65353013,5446315.1689991,NA,NA
"1","63",NA,441413.987508228,5446315.1689991,NA,NA
"1","64",NA,441521.321486326,5446315.1689991,NA,NA
"1","65",NA,441628.655464424,5446315.1689991,NA,NA
"1","66",NA,441735.989442522,5446315.1689991,NA,NA
"1","67",NA,441843.32342062,5446315.1689991,NA,NA
"1","68",NA,441950.657398718,5446315.1689991,NA,NA
"1","69",NA,442057.991376816,5446315.1689991,NA,NA
"1","70",NA,442165.325354915,5446315.1689991,NA,NA
"1","71",NA,442272.659333013,5446315.1689991,NA,NA
"1","72",NA,442379.993311111,5446315.1689991,NA,NA
"1","73",NA,442487.327289209,5446315.1689991,NA,NA
"1","74",NA,442594.661267307,5446315.1689991,NA,NA
"1","75",NA,442701.995245405,5446315.1689991,NA,NA
"1","76",NA,442809.329223503,5446315.1689991,NA,NA
"1","77",NA,442916.663201601,5446315.1689991,NA,NA
"1","78",NA,443023.997179699,5446315.1689991,NA,NA
"1","79",NA,443131.331157798,5446315.1689991,NA,NA
"1","80",NA,443238.665135896,5446315.1689991,NA,NA
"1","81",NA,443345.999113994,5446315.1689991,NA,NA
"1","82",NA,443453.333092092,5446315.1689991,NA,NA
